	Part of Speech	main_word	main_word_id	main_word_GLOSS	2nd_word	2nd_word_id	2nd_word_GLOSS	3rd_word	3rd_word_id	3rd_word_GLOSS	ready?	who_collected	comment	lexeme_id	Gender	Attributive	Orthography	Lexical entry	No stress	Glossing label	comment_to_appear	meaning_1	meaning_1_rus	diathesis_1	example_1	example_1_cyr	example_1_rus	meaning_2	meaning_2_rus	diathesis_2	example_2	example_2_cyr	example_2_rus	meaning_3	meaning_3_rus	diathesis_3	example_3	example_3_cyr	example_3_rus	meaning_4	meaning_4_rus	diathesis_4	example_4	example_4_cyr	example_4_rus	who_compiled	elicited_day	elicited_month	elicited_year	updated_day	updated_month	updated_year	filename	speaker_name	gender	year_of_birth	lexcauc_id	swadesh_id	j/h	PFV.3	IPFV.3	INF.3	IMP.3	PROH.3	HPL/APL	Co-verbal form	Adverbial form	Lexical Entry
32	verb										1.0	KF		v203			висыр	wisɨ́r	wisɨr	roast_grain		roast	обжаривать (зерно)		misde zad hɨggɨduqun qʼir wisɨ́rsɨr (wisɨ́r)	мисде зад гьыггыдухъун кьир висы́рсыр (висы́р)	В этом году я обжарил много зерна																																	wisɨ́r	wisára ~ wɨsɨ́rsara	wisás	wisá	méwis	*			
33	verb										1.0	KF		v205			вихир	wiχír	wiχir	carry		carry	уносить		zad χajma wiχir jibʁas	зад хайма вихир йибгъас	Я унесла ковёр в стирку																																	wiχír	wíχera	wíχes	wíχeʔ	méwiχ	*			
52	noun										1.0	NB		n51	4	wixíd	вихьʼ	wixʲ	wixʲ	cattle_shed		cattle shed	хлев		idzɨ wixe aː qʼʷab qʼɨq	идзы вихье аа кьваб кьыхъ	В моём хлеву 2 телёнка																			KF											135											
34	verb										1.0	KF		v196			вицӀыр	wicʼɨ́r	wicʼɨr	melt		melt	растапливать		ilesdɨ gaʔas, χaˤrad jicʼasɨ	илесды гаъас, хаӀрад йицӀасы	Чтобы готовить еду, масло нужно растопить	melt	таять		mɨk jicʼɨr	мык йицӀыр	Лёд растаял																										j	wicʼɨ́r	wicʼára	wicʼás	wicʼá	méwicʼ	*			
35	verb										1.0	KF		v195			вичӀир	wičʼír	wičʼir	manage		manage	справляться		ʁijʁa zada jičʼir diwan jaʁmiš waʔas	гъийгъа зада йичӀир диван йагъмиш ваъас	Сегодня я смог собрать диван	agree	соглашаться		edemieχda čʼardaχ liwxis ses wajaraj, had jičʼir diš	эдемиехда чӀардах ливхьис сес вайарай, гьад йичӀир диш	Мужчину позвали крыть крышу, а он не согласился																										j	wičʼír	wičʼéra	wičʼés	wíčʼe	míjičʼ	*			
31	verb										1.0	KF	méwiš — в основном с оптативом мевиший как я понял, редкая форма	v202			вишир	wišír	wišir	become		become	стать		had eke jišir ; gɨtɨrɨklʲa nin wišira	гьад эке йишир ; гытырыклʼа нин вишира	Он стал взрослым ; Кошка стала мамой	manage to do	мочь, смочь		zada telewizer qawaʔas wuruʔura ; zada hišir χal tamɨz gaʔas	зада телевизер хъаваъас вуруъура ; зада гьишир хал тамыз гаъас	Я могу починить телевизор ; Я смогла комнату убрать	be	быть		wɨdɨ χala barakat mewišij	выды хала баракат мевиший	Пусть не будет благополучия в доме																				j/h	wišír	wurúʔura	wurúʔus ~ wɨ́kɨs	wiš	máˤwuˤʁ ~ méwiš	*			
36	verb										1.0	KF, MD	3 ; iPFV	v204			виъи (ӀPFV)	wiʔí (ӀPFV)	wiʔi (ӀPFV)	go		go to	ходить		tiʔ gʲaɢa hušijden edemi jiʔi ; χɨnimer duruʔura mixdabɨ	тиъ гякъа гьушийден эдеми йиъи ; хынимер дуруъура михьдабы	Вон смотри какой-то мужик идёт ; Дети ходят в школу	be getting	становиться (НСВ)		had har sɨdɨs bɨtʼrɐna riʔi / rurura	гьад гьар сыдыс бытӀра̂на риъи / рурура	С каждым годом она становится всё красивее																											NO DATA [hápχɨˤr]	wiʔí	wurúʔus	NO DATA [wɨrɨ́χ(a)]	máˤwuʁˤ ~ móˤwuˤʁ	*			
37	verb										1.0	AA		v213			вулхъур	wúlqur	wulqur	play		play	играть		χɨnimer rigida dülʲqera ; geter baʁde hulqara	хынимер ригида дуьлʼхъера ; гетер багъде гьулхъара	Дети играют на улице ; Кошки играют в саду																											Майсарат						wúlqur	wúlqara	wúlqas	wúlqa	máwulq ~ mówluq	HPL/APL			
38	verb										1.0	AA		v215			вуруӀхуӀр	wurúˤχuˤr	wuruˤχuˤr	mill.v		mill	молоть		jezubɨr ruˤχara	йезубыр руӀхара	Зерна мелят																																	wurúˤχuˤr	wurúˤχara	wurúˤχas	wurúˤχa	máˤwrúˤχ	*			
39	verb										1.0	AA	нет упереднения, если переходный, есть - непереходный	v218			вухур	wuχúr	wuχur	bore		give birth	рожать		get χɨnimer huχura	гет хынимер гьухура	Кошка родила котят	be born	рождаться		χɨnimer dьuxüra ; getir hüχüra	хынимер дьухьуьра ; гетир гьуьхуьра	Дети родились ; Котята родились																											wuχúr	wúχara	wúχas	wúχa	máwuχ	HPL/APL			
40	verb										1.0	AA	labile ; wurxas (б ; в ; ) нету? Реально лабильный ; iNF ; 3 *wurxas ; бЫЛИ ЗНа̂ЧЕНИЯ печься и вариться но не прошло чета ; хьув вурхьвара хьара ; хлеб в печи печется (назиле говорит это хлеб горит)	v216			вухьур	wúxur	wuxur	cook		fry	жариться		tawasːara jak hurxʷara	тавассара як гьурхьвара	Мясо на сковордке жарится																											Майсарат						wúxur	wúrxʷara	wúxʷas	wúxa ~ wúxʷa	mówrux ~ máwrux	*			
41	verb										2.0	AA	у НР и Ма̂ː ӀPFV ; 3 -- wuruxar ; у меня записано на ӀPVF ; 4ː рухьвара ~ рухьывара	v217			вухьур	wuxúr	wuxur	say		say	сказать		zad hanuwda huxura / ruxura bɨgaː zɨ wɨɣlis rurura	зад гьанувда гьухьура / рухьура быгаа зы выгӀлис рурура	Я ему сказала, что завтра выхожу замуж																																	wuxúr	wuruxara	huxús (4)	jíxʲa (4)	márux (4)	NO			
42	verb										1.0	AA	кауз - обтесывать, делать брусː гьус вуцӀа гыъыр (брус обтесали)	v212			вуцӀур	wucʼúr	wucʼur	tear_off		tear off	изнашиваться		izdɨ čejdan wucʼura	изды чейдан вуцӀура	Мой чайник прохудился																																	wucʼúr	wucʼára	wucʼás	wucʼá	mówɨcʼ	*			
43	verb										1.0	AA	"3 ; iPFV ; выгарий на буд ; вр ; выгас не бывает ; лучше инфː зас выгара гьыкасы ; ""я хотел платье"" - выгарий сказала назиле ; мавыг - нельзя, майыг - можно вроде для ребенка ; аЛИСУЛТа̂Но̂Вː вроде записанные формы выглядят адекватно, предположительно PFV ; 3 должно быть выгыр, потому что в Ӏ/4 классе по а̂лисултанову -- йыгыр"	v207			выгара (ӀPFV)	wɨ́gara (ӀPFV)	wɨgara (ӀPFV)	want		want	хотеть		getʲer hɨgara	гетʼер гьыгара	Я хочу кошек																											Майсарат						NO DATA	wɨ́gara	wɨ́gas	wɨ́ga	máwɨg	NO			
53	noun										1.0	NB		n52	3	wɨgnád	выгын	wɨgɨ́n	wɨgɨn	dog_fang		fang (of dog)	клык (собаки)		me wɨgnɨra jak ilera	ме выгныра йак илера	Клыком грызёт мясо (о собаке)	wedge	клин		hanɨw ʔaraːsa jilegad wɨgɨn wetɨr kibtʼas zer	гьаныв ъарааса йилегад выгын ветыр кибтӀас зер	Он прибил железный клин чтобы привязать корову													KF											302											
44	verb										1.0	AA	принести - нельзя	v208			выгыр	wɨgɨ́r	wɨgɨr	fetch		fetch here	привести		χɨnχɨra get wɨgɨ́ra ; zad juldaš hɨgɨra ; zad juldašer dɨgɨrgara	хынхыра гет выгы́ра ; зад йулдаш гьыгыра ; зад йулдашер дыгыргара	Ребенок привел кошку ; Я привел друга ; Я привожу друзей																											Майсарат						wɨgɨ́r	wɨgɨ́rgara ~ wɨgara	wɨgɨ́rgas ~ wɨgas	wɨgɨ́rga	máwɨg ~ mówɨg	NO			
30	complex verb	wɨxɨ́r	v209	go_to	wɨɣɨ́l	n53	husband-DAT				1.0	TM		cv196			выгӀлис рыхьыр (2)		wɨɣlis rɨxɨr (2)	husband-DAT go_to		marry (a man)	выходить замуж	abs	wɨdɨ riši wɨɣlis rɨxɨram?	выды риши выгӀлис рыхьырам?	Твоя сестра замуж вышла?																			TM	11.0	8	2023.0					Nurula														wɨɣlis rɨxɨr (2)
54	noun										1.0	NB		n53	1	wɨɣlíd	выгӀыл	wɨɣɨ́l	wɨɣɨl	husband		husband	муж		izdɨ wɨɣlira kʼɨblaːqu ǯub gude čʼabal	изды выгӀлира кӀыблаахъу джуб гуде чӀабал	Мой муж давно не резал барана																			KF											72											
55	noun										1.0	NB		n54	NO DATA	wɨɣɨ́lnɨwdɨ	выгӀылды	wɨɣɨ́ldɨ	wɨɣɨldɨ	man		man	мужчина		wɨ wɨɣɨldɨ diš	вы выгӀылды диш	Ты не мужчина																			KF											64											
31	complex verb	wɨ́ʔɨr ~ howʔɨr ~ háwʔɨr	v211	do	wɨzz		wɨzz				1.0	TM		cv197			вызз выъыр		wɨzz wɨʔɨr	wɨzz do		buzz	жужжать	erg	ʁubwɨra ima wɨzz waʔad?	гъубвыра има вызз ваъад?	Это пчела жужжит?																			TM	11.0	8	2023.0					Nurula														wɨzz wɨʔɨr
56	noun										1.0	NB		n55	4	wɨ́zɨrad	вызыр	wɨ́zɨr	wɨzɨr	sheep_shed		sheep shed	овчарня		sürü čʼabailešdɨ ʁaʔ ʁɨʔɨr gɨrgɨra sɨwa ʔarakid wɨzɨra	суьруь чӀабаилешды гъаъ гъыъыр гыргыра сыва ъаракид вызыра	Стадо овец выгнали в горы из общей овчарни																			KF											136											
45	verb										1.0	AA	истӀекан, чейдан вызырзара, чей зырзара (переливается), хед зырзара - выходит из под земли вода ; я наполнил - кауз вроде, и чайник наполнился - не кауз	v210			вызырзыр	wɨzɨ́rzɨr	wɨzɨrzɨr	overflow		overflow	заполняться доверху, переполняться		xed zɨrzara ; χɨnχɨra xed hɨʔɨr istʼekane wɨzɨrza wɨʔɨr	хьед зырзара ; хынхыра хьед гьыъыр истӀекане вызырза выъыр	Вода вышла (из мёрлых яблок, когда растаяли) ; Мальчик перелил воды в стакан																																	wɨzɨ́rzɨr	wɨzɨ́rzara	wɨzɨ́rzas	wɨzɨ́rza	móˤwɨrz	*			
57	noun										1.0	NB		n56	3	wɨ́sad	выс	wɨs	wɨs	sunny_slope		sunny slope	солнечный склон горы		izdɨ zer haˤbχɨra wɨsaː, zɨ ješemiš ruʔura χin suru	изды зер гьаӀбхыра высаа, зы йешемиш руъура хин суру	Корова пошла на ту солнечный склон, а я живу на теневом																			KF											8											
46	verb										1.0	AA, MD		v209			выхьыр	wɨxɨ́r	wɨxɨr	go_to		go to	уходить, уезжать		izdɨ χɨnimer ʁa dɨxɨr ; lʲuček dɨxɨr, awtobusa laʔ lelčʼur, u šuwdišir jakʷas laʔ lelčʼur šɨwdišijna	изды хынимер гъа дыхьыр ; лючек дыхьыр, автобуса лаъ лелчӀур, у шувдишир йаквас лаъ лелчӀур шывдишийна	Мои сыновья вышли наружу ; в Лучек пошли, на автобус поднялись, утром поднялись < ; >																											Назиле						wɨxɨ́r	NO DATA [wurúʔura]	NO DATA [wurúʔus]	wɨrɨ́χ(a)	máˤwuʁˤ ~ móˤwuˤʁ	NO			
47	verb										1.0	AA	спирт на рану, мыло в глаз	v206			выцӀырцӀыр	wɨcʼɨ́rcʼɨr	wɨcʼɨrcʼɨr	sting		sting	щипать (об ощущении)		tʼili wɨcʼɨrcʼara	тӀили выцӀырцӀара	Палец щипит	cannot wait to	не терпится		χɨnɨχ cʼɨrcʼɨra waχda	хыных цӀырцӀыра вахда	Ребенок к тебе очень хочет																					Майсарат						wɨcʼɨ́rcʼɨr	wɨcʼɨrcʼara	wɨcʼɨ́rcʼas	wɨcʼɨ́rcʼa	mówrɨ́cʼ	HPL/APL			
48	verb										1.0	AA		v211			выъыр ~ гьовъыр ~ гьавъыр	wɨ́ʔɨr ~ howʔɨr ~ háwʔɨr	wɨʔɨr ~ howʔɨr ~ hawɨʔr	do		do	делать		zad hɨʔɨr	зад гьыъыр	Я сделала тесто																																	wɨ́ʔɨr ~ howʔɨr ~ háwɨʔr	wáʔara	wáʔas	waʔ(a)	máwaʔ	NO			
80	verb										1.0	NB		v31			гʼагъачӀипхыр	gʲaʁačʼipχɨr	gʲaʁačʼipχɨr	PV-slide		slide, slip	скользить		zɨ gʲaʁačʼirχɨraj qutʼud ǯigɨjaː saʔ	зы гʼагъачӀирхырай хъутӀуд джигыйаа саъ	Я подскользнулся на горке																																	gʲaʁačʼipχɨr	gʲaʁačʼwɨlχara	gʲaʁačʼipχas	gʲaʁačʼipχa	gʲaʁmelʲwičʼ	gʲaʁačʼitχɨr / gʲaʁačʼitχɨr			
81	verb										1.0	NB	"было значение ""воткнуть"" -- не записали, мб нету"	v32			гʼовгъур	gʲowʁur	gʲowʁur	UNDER-shift		betray	предать		edemira gʲowʁurʔaj ǯudu muˤɢ	едемира гʼовгъуръай джуду муӀкъ	Мужчина предал своё село	pee oneself	описаться (о ребёнке)		zur gʲaʁura	зур гʼагъура	Описался																											gʲowʁur	gʲabʁura	gʲowʁus	gʲowʁa	gʲamabʁu	gedʁɨr / gelʁɨr			
82	verb										1.0	KF		v33			гʼовкъыр	gʲówɢɨr	gʲowɢɨr	PV-look		look	смотреть		tɨlɨ tinʲaː miʔ gʲowɨrɢara ; gedʲaɢa ixdɨ mihmanar diʔi	тылы тиняя миъ гёвыркъара ; гедякъа ихьды мигьманар диъи	Собака смотрит оттуда сюда ; Смотрите, вон едут наши гости																											Нурулла						gʲówɢɨr	gʲowaɢara ~ gʲówɨrɢara	gʲówɢas	gʲówɢa	gʲamáwlɨɢ+ ~ gʲomówɨrɢ	HPL+APL			
98	noun										1.0	AI		n96	2	gɐníndɨ	га̂нин	gɐnín	gɐnin	mother_in_law		mother-in-law	тёща, свекровь		izdɨ gAnin hɨχdɨ riʔi	изды гAнин гьыхды риъи	Моя тёща хорошая																			KF	6.0	8	2023.0					Nazile	f		106											
58	noun										1.0	AA		n57	1	gágdɨ	гаг	gag	gag	father_in_law		father-in-law	тесть, свёкор		izdɨ gag qʼasa jišira	изды гаг кьаса йишира	Мой свекор постарел																			KF	10.0	8	2023.0					Назиле	f		104											
59	noun										1.0	AA		n58	1	gagajdɨ	гагай	gágaj	gagaj	uncle		uncle	дядя		izdɨ gagaj hɨhdɨ jiʔi	изды гагай гьыгьды йиъи	Мой дядя хороший																			KF	10.0	8	2023.0					Назиле	f		94											
60	noun										1.0	AA		n59	1	gɨdíjed	гада	gadá	gada	youngster		youngster	юноша		ixdɨ χala gada jirqʼɨraj	ихьды хала гада йиркьырай	К нам пришел юноша																			KF	10.0	8	2023.0					Назиле	f													
32	complex verb	wišír	v202	become	ɢazamiš		ɢazamiš				1.0	TM	вроде бы только с пациенсом деньгами	cv58			газамиш вишир		ɢazamiš wišir	ɢazamiš become		be earned	зарабатывать	abs	misde sɨda jes ɢazamiš hišira šihibɨr hiχana ; izdɨ duχara ɢazamiš haʔara	мисде сыда йес къазамиш гьишира шигьибыр гьихана ; изды духара къазамиш гьаъара	В этом году мы неплохо заработали ; Мой сын зарабатывает																			TM	8.0	8	2023.0					Nazile														ɢazámiš wišir
33	complex verb	wɨ́ʔɨr ~ howʔɨr ~ háwʔɨr	v211	do	ɢazamiš		ɢazamiš				1.0	TM	ɢazɨnǯ - заработок	cv59			газамиш выъыр		ɢazamiš wɨʔɨr	ɢazamiš do		earn	зарабатывать	erg, abs	izdɨ babadide balana ɢazamiš haʔara	изды бабадиде балана къазамиш гьаъара	Мой дед много зарабатывает																			TM	8.0	8	2023.0					Nazile														ɢazámiš wɨʔɨr
61	noun										1.0	AA		n60	2	gajdɨ	гай	gaj	gaj	aunt		aunt	тётя		izdɨ gaj batʼrad riʔi	изды гай батӀрад риъи	Моя тетя красивая																			KF	10.0	8	2023.0					Назиле	f		96											
62	noun										1.0	AI	gardanad jeddal ani jiʔi -- посессивная предикативность походу	n61	3	gardánad ~ gardándɨ	гардан	gardán	gardan	neck		neck	шея		izdɨ gardana ɢɨziled cepʲ a ; gardanad jeddal ani jiʔi	изды гардана къызилед цепʼ а ; гарданад йеддал ани йиъи	На моей шее золотая цепь ; У меня болит шея																			KF	6.0	8	2023.0					Nazile	f													
63	noun										1.0	AI	собрать пример “о̂т голода умер”	n62	3	gáˤšdɨ	гаӀш	gaˤš	gaˤš	starvation		starvation, hunger	голод		zas gaˤše jiʔi	зас гаӀше йиъи	Я голоден																			KF	6.0	8	2023.0					Nazile	f													
15	adjective										1.0	AI	gɨš-?	a34			гаӀшды	gaˤšdɨ	gaˤšdɨ	hungry		hungry	голодный		qʼɨter gɨˤši jiʔi ; zɨ hɨxɨr sɨwaʔ gɨˤšena	кьытер гыӀши йиъи ; зы гьыхьыр сываъ гыӀшена	Курицы голодные ; Я ходил в гору голодный																				15.0	8.0	2023.0					Magomed	m	Nazile										gaˤše	gaˤšena	
64	noun										1.0	AI		n63	3	gʷaláχad	гвалах	gʷaláχ	gʷalaχ	work.n		work (noun)	работа		nin razɨ riʔi duχardɨ gʷalaχala	нин разы риъи духарды гвалахала	Мать гордится работой сына																			KF	7.0	8	2023.0					Nurulla	m													
34	complex verb	wɨ́ʔɨr ~ howʔɨr ~ háwʔɨr	v211	do	gʷaláχ	n63	work.n				1.0	TM		cv71			гвалах выъыр		gʷalaχ wɨʔɨr	work.n do		work	работать	erg	zad ʁijʁa gʷalaχ waʔardiš	зад гъийгъа гвалах ваъардиш	Я сегодня не работаю																			TM	11.0	8	2023.0					Nazile														gʷalaχ wɨʔɨr
65	noun										1.0	AI		n64	3	gʷárgɨd	гварг	gʷarg	gʷarg	spine		spine	позвоночник		gʷarg ad wišir a ; χudulbɨr gʷarga a	гварг ад вишир а ; худулбыр гварга а	Позвоночник сломался ; Легкие находятся возле позвоночника																			KF	7.0	8	2023.0					Nurulla	m		277											
49	verb										1.0	AA	проиграл корову нельзя	v20			гебгыр	gébgɨr	gebgɨr	UNDER-stay		lose (a game)	проиграть		tup waʔad ǯigɨj ixdɨ gɨdijer gedgɨr	туп ваъад джигый ихьды гыдийер гедгыр	Наша футбольная команда проиграла	be left behind	отстать, остаться позади		χɨnɨχ qьuʔ gergɨr ninɨːla	хыных хъьуъ гергыр ниныыла	Ребенок отстал от мамы	get caught in avalance	попасть под лавину		edemi qʼɨne sɨwa hɨʔɨne, qʼɨrqʼɨχdɨ gergɨr	едеми кьыне сыва гьыъыне, кьыркьыхды гергыр	Человек в гору пошел, под лавину попал															Нурулла	с костей, когда он заболел					gébgɨr	gewílgar	gébgas	gébga	gemewlig	NO			
50	verb										1.0	AI	geʁebčʼur = форма в Лучеке ; geʁwičʼ = пролезь снизу ; geʁwičʼ ala = вылези	v22			гегъевчӀур	geʁewčʼur	geʁewčʼur	UNDER-OUT-move		get out from under smth	вылезти из-под чего-либо		tɨla geʁewčʼura diwanaxla	тыла гегъевчӀура диванахьла	Собака вылезла из-под дивана																				12.0	8	2023.0					Teli/Edera	f/f					geʁewčʼur	geʁebčʼur	geʁewčʼus	geʁwičʼa	geʁmewričʼ ~ geʁmewručʼ	geʁéwčʼur, geʁéwčʼur			
51	verb										1.0	AI		v24			гегъивхьир	geʁiwxir	geʁiwxir	PV-be_silent		be silent	молчать		zer geʁiwxir ; mašin geʁiwxir a	зер гегъивхьир ; машин гегъивхьир а	Корова замолчала ; Машина замолчала (после того, как сигналила)																				12.0	8	2023.0					Teli/Edera	f/f					geʁiwxir	geʁiwxera	geʁiwxis	geʁiwxe	geʁmewrix	geʁixir, geʁidxira			
52	verb										1.0	AI	ixʲdɨ mašin geʁibxur ; = (Ӏ) нет машины (2) разрушилась	v23			гегъипхьур	geʁipxur	geʁipxur	UNDER-OUT-fall		fell apart, collapse	развалиться, разрушиться		ʁuˤl geʁipxur ; ixʲdɨ bɨlaχ geʁibxur	гъуӀл гегъипхьур ; ихьʼды былах гегъибхьур	Окно разрушилось ; Родник разрушился	cease to exist	перестать существовать		ixʲdɨ zer geʁibxur	ихьʼды зер гегъибхьур	Нашей коровы не осталось														12.0	8	2023.0					Teli/Edera	f/f					geʁipxur	geʁwipxura	geʁipxusɨ	geʁipxʷa	geʁmewipxʷ	geʁéčʼur geʁéčʼχur люди			
53	verb										1.0	AI	нельзя употребить в предложении “Мама у ребенка телефон отобрала ; ”	v25			гегъыпӀир	geʁɨpʼir	geʁɨpʼir	UNDER-OUT		pull, drag (from under smth)	вытащить (из-под чего-либо)		zad get geʁɨpʼiraj diwanaxla ; zad geʁɨpʼɨraj istʼul ; kʼɨtʼer jišikla geʁitʼir χɨlɨmar	зад гет гегъыпӀирай диванахьла ; зад гегъыпӀырай истӀул ; кӀытӀер йишикла гегъитӀир хылымар	Я вытащил кошку из-под дивана ; Я из-под тебя вытащила стол ; Я вытащил из-под курицы яйца	remove	убрать		maʁad geʁipʼa ; maʁad geʁipʼir xuqaχla ; nine geʁɨpʼir istʼul rɨšeχla	магъад гегъипӀа ; магъад гегъипӀир хьухъахла ; нине гегъыпӀир истӀул рышехла	Лестницу оттащи ; Лестницу убрали из-под дерева ; Мама убрала стул из-под ребенка	take away (calf from cow)	отнять (телёнка от коровы)		zas hɨgara qʼɨq geʁipʼes	зас гьыгара кьыхъ гегъипӀес	Я хочу отнять теленка (от коровы)								12.0	8	2023.0					Teli/Edera	f/f					geʁɨpʼir	geʁʷilera	geʁipʼes	geʁipʼe	geʁmelwiʔ	gʲaklitir, gʲaklitir			
16	adjective										1.0	AI		a35			гедды	géddɨ	geddɨ	thin1		thin (rope)	тонкий (о веревке)		tʼinud χɨl géddɨ jiʔi ; uχur aʔ geddana	тӀинуд хыл ге́дды йиъи ; ухур аъ геддана	У него рука слишком тонкая ; Сделай нитку потоньше																				15.0	8.0	2023.0					Magomed	m	Khanum										gedda	geddana	
66	noun										1.0	AI		n65	3	géǯejed	геджей	géǯej	geǯej	beehive		beehive	улей		mid geǯeje bala ʁubaʁ ani wiʔi	мид геджейе бала гъубагъ ани виъи	В этом улье много пчёл																			KF	6.0	8	2023.0					Nazile	f		223											
67	noun										1.0	AI		n66	3	gíldɨ	гел	gel	gel	lamb		lamb (< 1 year)	ягнёнок (< 1 года)		gildɨ jak iddɨ ruʔura ; gildy dyn ʁˤɨˤdildɨ ruʔura	гилды йак идды руъура ; гилдy дyн гъˤыӀдилды руъура	Мясо ягнёнка очень вкусное ; Шерсть ягненка мягкая																			KF	6.0	8	2023.0					Nazile	f		153											
54	verb										1.0	AI		v21			гептыр	géptɨr	geptɨr	PV-take_pet		have a pet	заводить (животное)		zad dawarar geltɨr ; zad geptɨra get	зад даварар гелтыр ; зад гептыра гет	Я скот завела ; Я завел кошку																				12.0	8	2023.0					Teli/Edera	f/f					géptɨr	gewiltara	geptasɨ	geptaʔ	gemewlɨt ~ gemewrɨt				
68	noun										1.0	AI		n67	3	gitɨ́rdɨ	гет	get	get	cat		cat	кошка		izdɨ get qʼɨˤrčʼid wiʔi	изды гет кьыӀрчӀид виъи	Моя кошка рябая																			KF	6.0	8	2023.0					Nazile	f		195											
55	verb										1.0	NB		v28			гивикьыр	giwiqʼɨr	giwiqʼɨr	PV-understand		understand	понимать		χɨnɨχ gijiqʼɨr χabarmɨχda	хыных гийикьыр хабармыхда	Мальчик понял новости																																	giwiqʼɨr	giwirqʼara	giwɨqʼas	giwɨqʼa	gimerwrɨqʼ	gidiqʼɨr / gijiqʼɨr			
56	verb										1.0	NB		v29			гивхыӀр	giwχɨˤr	giwχɨˤr	UNDER-hit		meet (unintentionally)	встретить случайно, попасться		gɐdies rɨš girɨˤrχɨr	га̂диес рыш гирыӀрхыр	Мальчик девочку встретил	hide	прятаться		qʼul giwχɨra gitɨriχla	кьул гивхыра гитырихла	Мышь спряталась от кошки																											giwχɨˤr	giwɨrχˤɨra	giwχˤɨs	giwχaˤ	gimawrɨˤχ	gitχɨˤr / giχɨˤr			
57	verb										1.0	NB		v30			гивхьир	giwxir	giwxir	UNDER-put		hide, put	прятать		χaldɨ qʼɨxʲnuwa χuˤr giwirkʼa hawɨr jisɨrɨkla ; zad šijibɨr gixira krawataχda	халды кьыхьʼнува хуӀр гивиркӀа гьавыр йисырыкла ; зад шийибыр гихьира краватахда	Хозяйка спрятала муку от моли ; Я спрятала деньки под кровать	put under smth	ставить под что-либо		mihmanara giwxir sumkʼa ustʼulad qʼaneχda	мигьманара гивхьир сумкӀа устӀулад кьанехда	Гость поставил сумку под стол																											giwxir	giwilxera	giwxis	giwxʲa	gimewlixʲ	-			
58	verb										1.0	NB	gidibčira (ӀPFV ; hPL), gimedibč (PROH ; hPL)	v27			гивчир	giwčir	giwčir	UNDER-jump		catch under	схватить снизу (например, за ногу)		qʼɨq zirɨχda giwčira ; χɨnɨχ jilabaχda gijčira	кьыхъ зирыхда гивчира ; хыных йилабахда гийчира	Телёнок сосёт корову ; Ребёнок схватился за ногу	go out for a dance	выйти танцевать		sin mihmanar xu gilčiraj dülqes	син мигьманар хьу гилчирай дуьлхъес	Все гости на свадьбе вышли танцевать																											giwčir	gidibčira (HPL)	giwčes	giwči	gimedibč (HPL)	gitčir ~ gilčir / gilčir			
69	noun										1.0	AI		n68	3	gígujed	гигу	gígu	gigu	cuckoo		cuckoo	кукушка		gigujed ekule balad šarakmar ani i	гигуйед екуле балад шаракмар ани и	У кукушки в гнезде много птенцов																			KF	6.0	8	2023.0					Nazile	f		187											
70	noun										1.0	AI		n69	3	gimɨ́d	гим	gim	gim	meeting_area		meeting area	годекан		gima jaʁmiš dišira χɨle	гима йагъмиш дишира хыле	На годекане собрались женщины																			KF	6.0	8	2023.0					Nazile	f		561											
71	noun										1.0	AI		n70	3	girdábad	гирдаб	girdáb	girdab	saw.n		saw (noun)	пила		izdɨ girdábad sɨlabɨr bara jiʔi	изды гирда́бад сылабыр бара йиъи	Лезвие моей пилы тупое																			KF	6.0	8	2023.0					Nazile	f		724											
72	noun										1.0	AI		n71	3	gíčʼed	гичӀ	gičʼ	gičʼ	fear.n		fear	страх																							KF	6.0	8	2023.0					Nazile	f													
35	complex verb	giwir		UNDER-let	gičʼ	n71	fear.n					TM		cv60			гичӀ гивир		gičʼ giwir	fear.n UNDER-let		threat, frighten (tr)	угрожать, пугать	erg, dat	wad izdɨ χɨnχɨs gišʼ giwir, hɨmɨʔ hanowus gičʼera	вад изды хынхыс гишʼ гивир, гьымыъ гьановус гичӀера	Ты моего ребенка напугал, теперь он боится																			TM	13.0	8	2023.0					Nazile														gičʼ giwir
36	complex verb	jíˤwχɨˤr	v52	hit	gičʼ	n71	fear.n				1.0	TM		cv61			гичӀ йӀивхыӀр		gičʼ jiˤwχɨˤr	fear.n hit		be afraid, frighten	пугаться	dat, sup-el	zas ubliːla gičʼ jɨˤwχɨr	зас ублиила гичӀ йыӀвхыр	Я волка испугался																			TM	11.0	8	2023.0					Nazile														gičʼ jiˤwχɨˤr
37	complex verb	léwir	v89	UP-let	gičʼ	n71	fear.n				1.0	TM		cv62			гичӀ левир		gičʼ lewir	fear.n UP-let		frighten (tr)	пугать	erg, dat	zas ublira gičʼ lewir	зас ублира гичӀ левир	Меня волк напугал																			TM	11.0	8	2023.0					Nazile														gičʼ lewir
38	complex verb	lípxur	v92	UP-fall	gičʼ	n71	fear.n				1.0	TM		cv63			гичӀ липхьур		gičʼ lipxur	fear.n UP-fall		be afraid, frighten	пугаться	dat, sup-el	zas ubliːla gičʼ lipxur	зас ублиила гичӀ липхьур	Я волка испугался																			TM	11.0	8	2023.0					Nazile														gičʼ lipxur
